"File","Pattern"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\index.js","Admin init at import"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\index.js","Firestore client at import"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\index.js","Top-level await"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\src\ai\orchestrator.js","Firestore client at import"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\src\ai\orchestrator.js","Top-level await"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\src\ai\providers\anthropic.js","Network at import"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\src\ai\providers\openai.js","Network at import"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\src\ai\providers\orchestrator.js","Firestore client at import"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\src\ai\providers\orchestrator.js","Top-level await"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\src\ai\providers\vertex.js","Network at import"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\src\callables\userManagement.js","Admin init at import"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\src\callables\userManagement.js","Firestore client at import"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\src\callables\userManagement.js","Top-level await"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\src\index.js","Admin init at import"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\src\rbac\claims.js","Firestore client at import"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\src\rbac\claims.js","Top-level await"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\src\repositories\productRepository.js","Firestore client at import"
"D:\01 Main Work\Boots\Boots-POS Gemini\functions\src\schema\snapshot.js","Firestore client at import"
